name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,197212,76082,197212,2952,2015-11-07 01:19:20+00:00,2026-08-21 11:36:04+00:00,Apache License 2.0
transformers,huggingface,Python,164297,34305,164297,2386,2018-10-29 13:56:00+00:00,2026-08-21 11:36:26+00:00,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89643,22017,89643,14,2021-03-03 01:34:05+00:00,2026-08-21 11:24:32+00:00,MIT License
funNLP,fighting41love,Python,82578,15271,82578,52,2018-08-21 11:20:39+00:00,2026-08-21 09:14:39+00:00,No License
awesome-machine-learning,josephmisiti,Python,74093,15617,74093,26,2014-07-15 19:11:19+00:00,2026-08-21 11:29:01+00:00,Other
scikit-learn,scikit-learn,Python,66989,27296,66989,2117,2010-08-17 09:43:38+00:00,2026-08-21 11:01:08+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43396,3577,43396,175,2018-12-19 08:24:04+00:00,2026-08-21 11:36:28+00:00,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36425,7449,36425,68,2021-01-02 12:08:37+00:00,2026-08-21 11:28:21+00:00,No License
C-Plus-Plus,TheAlgorithms,C++,34591,7851,34591,29,2016-07-16 10:19:45+00:00,2026-08-21 11:14:03+00:00,MIT License
netron,lutzroeder,JavaScript,33380,3173,33380,18,2010-12-26 12:53:43+00:00,2026-08-21 09:28:55+00:00,MIT License
ML-From-Scratch,eriklindernoren,Python,32501,5431,32501,77,2017-02-05 12:11:23+00:00,2026-08-21 09:08:10+00:00,MIT License
applied-ml,eugeneyan,Unknown,30070,3992,30070,8,2020-07-04 18:57:47+00:00,2026-08-21 09:38:21+00:00,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28865,6147,28865,32,2016-10-09 21:20:25+00:00,2026-08-21 04:11:26+00:00,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28804,12906,28804,21,2019-07-13 19:52:56+00:00,2026-08-21 11:02:54+00:00,GNU Affero General Public License v3.0
